# Solar irradiance (Kurucz, R.L. 2005)   revised 02jan2010
# High resolution irradiance spectrum from 300 to 1000 nm.
# Thuillier et al (2004) calibration
# Kurucz.harvard.edu/sun/irradiance2005/irradthu.dat
#  
#  (tails left on to allow broadening)
#  
#      nm    W/m**2/nm
#     927476   2.45147  max   revised 02jan2010
  299.18922  0.63425
  299.18955  0.60540
  299.18988  0.57364
  299.19020  0.54023
  299.19053  0.50682
  299.19085  0.47437
  299.19118  0.44262
  299.19151  0.41073
  299.19183  0.37829
  299.19216  0.34543
  299.19249  0.31312
  299.19281  0.28288
  299.19314  0.25555
  299.19347  0.23139
  299.19379  0.21013
  299.19412  0.19190
  299.19444  0.17672
  299.19477  0.16512
  299.19510  0.15739
  299.19542  0.15283
  299.19575  0.15035
  299.19608  0.14855
  299.19640  0.14676
  299.19673  0.14427
  299.19705  0.14110
  299.19738  0.13681
  299.19771  0.13102
  299.19803  0.12384
  299.19836  0.11680
  299.19869  0.11238
  299.19901  0.11321
  299.19934  0.12149
  299.19966  0.13778
  299.19999  0.16181
  299.20032  0.19287
  299.20064  0.23139
  299.20097  0.27764
  299.20130  0.33176
  299.20162  0.39196
  299.20195  0.45449
  299.20228  0.51455
  299.20260  0.56798
  299.20293  0.61299
  299.20325  0.64999
  299.20358  0.68036
  299.20391  0.70549
  299.20423  0.72551
  299.20456  0.73973
  299.20489  0.74774
  299.20521  0.74967
  299.20554  0.74677
  299.20586  0.73959
  299.20619  0.72841
  299.20652  0.71294
  299.20684  0.69320
  299.20717  0.67043
  299.20750  0.64654
  299.20782  0.62362
  299.20815  0.60209
  299.20848  0.58124
  299.20880  0.55956
  299.20913  0.53733
  299.20945  0.51649
  299.20978  0.50033
  299.21011  0.49232
  299.21043  0.49343
  299.21076  0.50199
  299.21109  0.51583
  299.21141  0.53230
  299.21174  0.55066
  299.21206  0.57166
  299.21239  0.59582
  299.21272  0.62219
  299.21304  0.64871
  299.21337  0.67287
  299.21370  0.69317
  299.21402  0.71015
  299.21435  0.72548
  299.21468  0.74039
  299.21500  0.75544
  299.21533  0.76994
